date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:06	72290/72290	---M-Z	200	added ('OK')	text/html	etag:%2211a62-5b26b73157fee-gzip%22	https://motaadmin.dexignlab.com/xhtml/map-jqvmap.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/map-jqvmap.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:07	178950/178950	---M-Z	200	added ('OK')	text/html	etag:%222bb06-5b26b741b232c-gzip%22	https://motaadmin.dexignlab.com/xhtml/widget-basic.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/widget-basic.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:07	136503/136503	---M-Z	200	added ('OK')	text/html	etag:%2221537-5b26b72613106-gzip%22	https://motaadmin.dexignlab.com/xhtml/form-element.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/form-element.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:08	3334053/3334053	---MCZ	200	added ('OK')	text/html	etag:%2232dfa5-5b26b729efd5a-gzip%22	https://motaadmin.dexignlab.com/xhtml/icon-svg.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/icon-svg.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:08	88094/88094	---M-Z	200	added ('OK')	text/html	etag:%221581e-5b26b727ff6a3-gzip%22	https://motaadmin.dexignlab.com/xhtml/form-wizard.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/form-wizard.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:09	71662/71662	---M-Z	200	added ('OK')	text/html	etag:%22117ee-5b26b7255d960-gzip%22	https://motaadmin.dexignlab.com/xhtml/form-editor-summernote.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/form-editor-summernote.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:09	82198/82198	---M-Z	200	added ('OK')	text/html	etag:%2214116-5b26b726b291c-gzip%22	https://motaadmin.dexignlab.com/xhtml/form-pickers.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/form-pickers.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:09	86583/86583	---M-Z	200	added ('OK')	text/html	etag:%2215237-5b26b7275142d-gzip%22	https://motaadmin.dexignlab.com/xhtml/form-validation-jquery.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/form-validation-jquery.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:09	133290/133290	---M-Z	200	added ('OK')	text/html	etag:%22208aa-5b26b73203b54-gzip%22	https://motaadmin.dexignlab.com/xhtml/table-bootstrap-basic.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/table-bootstrap-basic.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:10	221266/221266	---M-Z	200	added ('OK')	text/html	etag:%2236052-5b26b732c634f-gzip%22	https://motaadmin.dexignlab.com/xhtml/table-datatable-basic.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/table-datatable-basic.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:10	3119/3119	---M-Z	200	added ('OK')	text/html	etag:%22c2f-5b26b717dfce5-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-register.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-register.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:10	3639/3639	---M-Z	200	added ('OK')	text/html	etag:%22e37-5b26b715f926e-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-login.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-login.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:11	1585/1585	---M-Z	200	added ('OK')	text/html	etag:%22631-5b26b716503a9-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-error-400.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-error-400.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:11	1608/1608	---M-Z	200	added ('OK')	text/html	etag:%22648-5b26b716c56a9-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-error-403.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-error-403.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:12	1655/1655	---M-Z	200	added ('OK')	text/html	etag:%22677-5b26b71705b4f-gzip%22	https://motaadmin.dexignlab.com/xhtml/page-error-404.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/page-error-404.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
